run_id,model,surface,real_split,layer,normalized_depth,overlap_template_eta2,overlap_source_eta2,real_template_eta2,real_root_eta2,real_family_eta2,real_affix_eta2
REP01_E06,Qwen3-8B,base,item,27,0.75,0.06612619294889995,0.15530891114886988,0.2809505935298744,0.6930958365327904,nan,nan
REP01_E06,Qwen3-8B,base,item,28,0.7777777777777778,0.06629468929172208,0.15500566432731228,0.28087539919103893,0.693056452456342,nan,nan
REP01_E06,Qwen3-8B,base,item,29,0.8055555555555556,0.06645977353190538,0.1542536091496728,0.2812059981140954,0.6929407270945341,nan,nan
REP01_E06,Qwen3-8B,base,item,30,0.8333333333333334,0.06655907795332668,0.15366921294742636,0.28101749583187946,0.6927909688453442,nan,nan
REP01_E06,Qwen3-8B,base,item,31,0.8611111111111112,0.066649054427157,0.15322489430253625,0.28124099930920254,0.6930051094112843,nan,nan
REP01_E06,Qwen3-8B,base,item,32,0.8888888888888888,0.06651902546918179,0.1537019741173531,0.28161024692303815,0.6932870069543453,nan,nan
REP01_E06,Qwen3-8B,base,item,33,0.9166666666666666,0.06646097140419985,0.15409041228750284,0.28170922016572814,0.6934988819775306,nan,nan
REP01_E06,Qwen3-8B,base,item,34,0.9444444444444444,0.0658979793362704,0.15507712657131836,0.2815187946557155,0.694109153708926,nan,nan
REP01_E06,Qwen3-8B,base,item,35,0.9722222222222222,0.06358215448922079,0.15963099376249484,0.2781017187677229,0.6976127932238706,nan,nan
REP01_E06,Qwen3-8B,base,item,36,1.0,0.09975572253657752,0.08374107183335333,0.24875442205137302,0.7726141613059541,nan,nan
REP01_E06b,Qwen3-8B,full,family,0,0.0,0.03865443181533056,0.02386502334517881,0.13538829712920428,0.44813068955935903,0.6185876131195431,0.008440869509845631
REP01_E06b,Qwen3-8B,full,family,1,0.027777777777777776,0.07042898286672507,0.032264429673309315,0.16382239017554898,0.5447848840708631,0.6912558941465738,0.013055416850606077
REP01_E06b,Qwen3-8B,full,family,2,0.05555555555555555,0.07612291417071076,0.0367438042108719,0.1591060588725035,0.5381177860912597,0.6790428023927026,0.01995110506032948
REP01_E06b,Qwen3-8B,full,family,3,0.08333333333333333,0.076403772679149,0.03858094083993039,0.15398845047001364,0.514050754797279,0.6506715161491726,0.028265485675563203
REP01_E06b,Qwen3-8B,full,family,4,0.1111111111111111,0.10195049440886916,0.04040830411165007,0.16748832915677545,0.5190299845065048,0.6534241230840055,0.03418941463401082
REP01_E06b,Qwen3-8B,full,family,5,0.1388888888888889,0.09176782003666495,0.04086374875994994,0.16530268820224311,0.5615495319645043,0.6862022109777154,0.020334440093398496
REP01_E06b,Qwen3-8B,full,family,6,0.16666666666666666,0.09150718999965596,0.03717782673021701,0.1627645956556865,0.5728067380593104,0.6932863796771669,0.019025807653384873
REP01_E06b,Qwen3-8B,full,family,7,0.19444444444444445,0.030003994966326313,0.03341056186276266,0.07865070617717754,0.20463686665980332,0.3314991220022538,0.08256395164529445
REP01_E06b,Qwen3-8B,full,family,8,0.2222222222222222,0.03000478505217989,0.03343362662766094,0.07865455564831654,0.20467085998379317,0.33152488536632024,0.08257420978280602
REP01_E06b,Qwen3-8B,full,family,9,0.25,0.03002969502242663,0.033421071572556305,0.07868540820501557,0.2047387344082655,0.33158278437885486,0.08258553335797557
REP01_E06b,Qwen3-8B,full,family,10,0.2777777777777778,0.030057374132343394,0.03339440652688938,0.07869429815402104,0.20473657094732317,0.3315825262088321,0.08260972971816546
REP01_E06b,Qwen3-8B,full,family,11,0.3055555555555556,0.030066009062447562,0.03332838018724747,0.07867131273663912,0.20469028835877964,0.33153213936052567,0.08265787798410774
REP01_E06b,Qwen3-8B,full,family,12,0.3333333333333333,0.03007466207919115,0.03335089745653425,0.07865837750521877,0.20467263060172766,0.33149527858410144,0.08268495021203323
REP01_E06b,Qwen3-8B,full,family,13,0.3611111111111111,0.030052824700786615,0.03333595909513808,0.07865468022275804,0.20461444692081682,0.3314209868687138,0.08263602088305477
REP01_E06b,Qwen3-8B,full,family,14,0.3888888888888889,0.030046938063913724,0.0333538468734077,0.07865175627677372,0.20464320319401563,0.33142607324974893,0.08270555272355071
REP01_E06b,Qwen3-8B,full,family,15,0.4166666666666667,0.03004219401781199,0.03330334096923371,0.0786416683168469,0.20463688791808507,0.3314172392344477,0.08275069734909217
